Title,Authors,Publication Date,Publisher,isbn,Languages,Waiting Peoples
人工智能,姚期智,2020,empty,9787302612797,English,1
Most People Are Stupid.,Tyson Prenter,2012,empty,1535156724,English,1
Animal Languages,Eva Meijer,2020,National Geographic Books,9780262044035,English,1
Agrometeorology in Extreme Events and Natural Disasters,H.P. Das,2014,CRC Press,9780415621120,English,1
如何从0到1,周频,2007,empty,9787302538929,English,1
萨米人萨满文化变迁研究,吴凤玲,2022,empty,750975755X,English,1
Ucrania: la primera batalla de la Tercera Guerra Mundial,zele,2005,empty,8423434192,English,1
The Theology of the Cross in Historical Perspective,Anna M. Madsen,1995,Wipf and Stock Publishers,9781597528351,English,1
The Modern Hippie Table: Recipes and Menus for Eating Simply and Living Beautifully,LAUREN. THOMAS,2003,empty,9781685550066,English,1
The Beauty of Old Korean Paintings,"Dongju Lee, Yong-hŭi Yi",2014,Saffron Books,1872843896,English,1
Introducción a los mercados de futuros y opciones,John Hull,2019,empty,9788448101008,English,1
尚未结束的历史,"戈尔巴乔夫, 斯拉文, Горбачева, Славиным, 桂兰·李",2016,empty,7801096222,English,1
高野人母美アクションポーズ,Tomomi Takan,2012,empty,9784766127133,English,1
The Unfinished Business,Yeo Bee Yin,2007,empty,9789675942259,English,1
ADS信号完整性仿真与实战,蒋修国,2007,empty,9787302528579,English,1
Nursing Lab Values,"BarCharts, Inc.",2021,empty,9781423233206,English,1
瞬間連写アクションポーズ 03 ヒロインアクション篇,ユーデンフレームワークス,2022,empty,4766123492,English,1
Continuous Symmetry,"William H. Barker, Roger Howe",2022,American Mathematical Soc.,0821839004,English,1
传热学,森吉尔,2022,empty,9787040206074,English,1
Maths for Chemistry,"Paul Monk, Lindsey J. Munro",2019,Oxford University Press,0198717326,English,1
Effective Public Relations and Media Strategy,Reddi C.V. Narasimha,2020,empty,8120336461,English,1
La casa sospesa sul nulla ,Alberica Sveva Simeone; Alessandro Girola,2020,empty,9798359605236,English,1
Novelist As a Vocation,Haruki Murakami,2021,Harvill Secker,1911215388,English,1
折り紙王子の凄ワザ!折り紙ジャポニスム,有澤悠河,2021,empty,9784309292298,English,1
数字图像处理,蔡利梅,2003,empty,9787302518228,English,1
The Heroine's Journey Workbook,Maureen Murdock,2013,Shambhala Publications,9781611808315,English,1
The Heroine's Journey,Maureen Murdock,2004,Shambhala Publications,9781611808308,English,1
"KS3 Spelling, Punctuation and Grammar All-in-One Complete Revision and Practice",Collins KS3,2008,Collins KS3 Revision,0008470510,English,1
Disintermediation Economics,"Eva Kaili, Dimitrios Psarrakis",2006,Palgrave Macmillan,3030657809,English,1
Meditation Without Gurus,Clark Strand,2003,Skylight Paths Publishing,9781683361923,dutch,1
The ebola virus,"Hirschmann, Kris, 1967-",2007,"Detroit, MI : Lucent Books/Thomson Gale",810162145079,English,489
isbn_9781477262788,printdisabled,empty,empty,146276126545,English,1399
Housebreak any dog : the permanent three-step method,"Carr, Audrey, 1952-",1997,"Lincolnwood, Ill. : Contemporary Books",486514611133,English,1925
A Kite in a Hurricane No More,Mia Giordano,"Nov 10, 2020",Pacific Research Institute,751706355203,English,467
When My Season Comes,"Miller, Michael B. Sr",2013,Xlibris Corporation,674990435079,English,1467
Haunting muses,American poetry -- 20th century,2016,"Fairfield, California : GusGus Press, Bedazzled Ink Publishing Company",555443304652,English,1882
isbn_9781530581016,printdisabled,empty,empty,483810650251,English,2338
the heart of jade,salvador de madariaga,1944,creative age press,314063195091,English,111
